Date : 2025-08-02 17:59:27
Directory : c:\Users\dell\OneDrive\Documents\vape\site-vape-v2
Total : 135 files,  30395 codes, 838 comments, 1817 blanks, all 33050 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\tailwind.config.cjs                        | JavaScript         |         11 |          1 |          1 |         13 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\tailwind.config.js                         | JavaScript         |         21 |          1 |          2 |         24 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\tsconfig.app.json                          | JSON               |         23 |          2 |          3 |         28 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\tsconfig.json                              | JSON with Comments |          7 |          0 |          1 |          8 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\tsconfig.node.json                         | JSON               |         21 |          2 |          3 |         26 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\vite.config.ts                             | TypeScript         |         31 |          1 |          2 |         34 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\package-lock.json                                    | JSON               |      2,047 |          0 |          1 |      2,048 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\package.json                                         | JSON               |         24 |          0 |          1 |         25 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\tailwind.config.js                                   | JavaScript         |          0 |          0 |          1 |          1 |
| Total                                                                                                   |                    |     30,395 |        838 |      1,817 |     33,050 |
+---------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
